Altium Designer Pick and Place Locations,,,,,,,
D:\ESP 32\ESP32 with USBC\Project Outputs for ESP32 with USBC\Pick Place\Pick Place for ESP32 with USBC PCB V1(Prototype).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       29-08-24,,,,,,,
Time:       20:22,,,,,,,
Revision:   3a5e0fade4f780048de76a3d5296b8c0a4c084e5,,,,,,,
Variant:    Prototype,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
R27,10K,TopLayer,RESC1005X37N,1660,185,270,RES SMD 10K OHM 1% 1/16W 0402
U1,ESP32-S3-MINI-1-N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,2484.409,500.394,270,"SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
U3,TL1963A-33DCYR,TopLayer,DCY0004A_M,780,290,0,IC REG LINEAR 3.3V 1.5A SOT223-4
U2,FT231XQ-R,TopLayer,FP-QFN-20-IPC_B,710,770,270,IC USB SERIAL FULL UART 20QFN
T2,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1115,808,0,TRANS NPN 25V 1.5A SOT23-3
T1,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1114.577,661,0,TRANS NPN 25V 1.5A SOT23-3
SW2,PTS645SM43SMTR92LFS,TopLayer,FP-PTS645SM43SMTR92LFS-MFG,1400,750,180,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SM43SMTR92LFS,TopLayer,FP-PTS645SM43SMTR92LFS-MFG,1400,250,180,SWITCH TACTILE SPST-NO 0.05A 12V
R24,0R,TopLayer,RESC1005X37N,1966.992,453,0,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
R23,0R,TopLayer,RESC1005X37N,1968.992,523,0,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
R22,10K,TopLayer,RESC1005X37N,1000,827.008,90,RES SMD 10K OHM 1% 1/16W 0402
R21,27R,TopLayer,RESC1005X37N,2104,783,0,RES SMD 27 OHM 0.1% 1/16W 0402
R20,27R,TopLayer,RESC1005X37N,2105,835,0,RES SMD 27 OHM 0.1% 1/16W 0402
R19,0R,TopLayer,RESC1005X37N,2230,147,180,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
R18,0R,TopLayer,RESC1005X37N,2138,146,180,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
R17,10K,TopLayer,RESC1005X37N,999,661.008,90,RES SMD 10K OHM 1% 1/16W 0402
C16,"1uF, 35V",TopLayer,CAPC1005X55N,1660,292,90,Cap Ceramic 1uF 35V X5R 0.25pF SMD 0402 85°C Cardboard T/R
R15,1K,TopLayer,RESC1005X37N,1567.008,470,180,RES 1K OHM 1% 1/16W 0402
R14,1K,TopLayer,RESC1005X37N,1570,550,180,RES 1K OHM 1% 1/16W 0402
R13,5K1,TopLayer,RESC1005X37N,395,266.992,90,RES SMD 5.1K OHM 1% 1/16W 0402
R12,5K1,TopLayer,RESC1005X37N,335,75,180,RES SMD 5.1K OHM 1% 1/16W 0402
R11,10K,TopLayer,RESC1005X37N,870,610,180,RES SMD 10K OHM 1% 1/16W 0402
R10,5K1,TopLayer,RESC1005X37N,417,820.008,90,RES SMD 5.1K OHM 1% 1/16W 0402
R9,5K1,TopLayer,RESC1005X37N,417,730,270,RES SMD 5.1K OHM 1% 1/16W 0402
R8,4k7,TopLayer,RESC1005X37N,870,660,0,RES 4.7K OHM 1% 1/16W 0402
R6,0R,TopLayer,RESC1005X37N,595,600,90,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
R5,27R,TopLayer,RESC1005X37N,530,790,0,RES SMD 27 OHM 0.1% 1/16W 0402
R4,27R,TopLayer,RESC1005X37N,530,740,0,RES SMD 27 OHM 0.1% 1/16W 0402
R1,0R,TopLayer,RESC1005X37N,695,515,0,"Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
J4,217179-0001,TopLayer,FP-2171790001-MFG,157.579,220.079,270,CONN RCP USB2.0 TYP C 24P SMD RA
J3,217179-0001,TopLayer,FP-2171790001-MFG,157.579,779.921,270,CONN RCP USB2.0 TYP C 24P SMD RA
D8,GREEN,TopLayer,LED0402G,1681.299,550,180,LED YLW-GRN 0402 SMD
